total_timesteps,explained_variance,nupdates,policy_entropy,value_loss,fps,ep_len_mean,ep_reward_mean
134000,0.9129172787070274,6700,2.0474791526794434,0.0018243801314383745,1889,599.33,-4.86
136000,0.9630419500172138,6800,2.025510787963867,0.00046574362204410136,1889,597.03,-4.85
138000,0.8635092824697495,6900,2.0545170307159424,0.0007346882484853268,1889,595.27,-4.86
140000,0.9547906965017319,7000,2.013880968093872,0.0008977592224255204,1886,592.52,-4.87
142000,0.974659651517868,7100,1.8714783191680908,0.0009536511497572064,1882,596.8,-4.86
144000,0.9968713920097798,7200,1.9866079092025757,0.0005581771838478744,1881,599.86,-4.84
146000,0.9979705398436636,7300,1.9018661975860596,0.00021320395171642303,1878,602.51,-4.83
148000,0.9718321766704321,7400,1.8946647644042969,0.002613186137750745,1874,601.4,-4.83
150000,0.9950662273913622,7500,1.9843097925186157,0.0007669352344237268,1869,604.45,-4.83
152000,0.6844516396522522,7600,1.7532339096069336,0.005168963223695755,1864,601.48,-4.84
154000,0.9580047763884068,7700,2.0122711658477783,0.0007226901361718774,1860,603.36,-4.84
156000,0.9729370046406984,7800,1.9777969121932983,0.0010957320919260383,1849,603.32,-4.85
158000,0.7761324793100357,7900,1.979285478591919,0.04020810127258301,1849,602.85,-4.85
160000,-5.3405070304870605,8000,1.9743818044662476,0.12861591577529907,1852,602.09,-4.87
162000,0.980792885646224,8100,2.0118463039398193,0.00045469985343515873,1853,610.99,-4.83
164000,0.997109612217173,8200,2.0467960834503174,0.0003337854577694088,1852,612.49,-4.84
166000,0.9869887391105294,8300,1.869675874710083,0.0015326335560530424,1847,613.11,-4.84
168000,0.7137422561645508,8400,1.9283298254013062,0.04535619542002678,1835,614.12,-4.85
170000,0.939115472137928,8500,1.9095335006713867,0.005534431431442499,1830,611.52,-4.84
172000,0.9252159371972084,8600,2.0234298706054688,0.00257309153676033,1827,609.73,-4.84
174000,0.6253743767738342,8700,2.0204739570617676,0.032533708959817886,1825,610.96,-4.83
176000,0.6592339277267456,8800,1.720987319946289,0.12276331335306168,1825,610.89,-4.83
178000,0.9838549047708511,8900,1.9116675853729248,0.00038538320222869515,1823,609.78,-4.82
