entropy,surrgain,EpThisIter,TimestepsSoFar,EpLenMean,EpRewMean,optimgain,EpisodesSoFar,TimeElapsed,explained_variance_tdlam_before,entloss,meankl
0.38532233,0.02520212,1,10052608,3000.0,0.275,0.02520212,4279,9053.258104085922,-10.080073356628418,0.0,0.005062637
0.379358,0.018418703,0,10053632,3000.0,0.275,0.018418703,4279,9054.12114071846,-4.394351959228516,0.0,0.0046286527
0.4026442,0.027570006,0,10054656,3000.0,0.275,0.027570006,4279,9055.055458784103,-3.569667339324951,0.0,0.005320764
0.3500371,0.028210673,1,10055680,3000.0,0.275,0.028210673,4280,9055.969035625458,-4.589993476867676,0.0,0.006167084
0.4001664,0.019882262,0,10056704,3000.0,0.275,0.019882262,4280,9056.794060230255,-9.249011039733887,0.0,0.0060810465
0.41034606,0.027713668,0,10057728,3000.0,0.275,0.027713668,4280,9057.65907907486,-3.054945468902588,0.0,0.0060365098
0.39303118,0.02043592,1,10058752,3000.0,0.275,0.02043592,4281,9058.516664981842,-1.2342092990875244,0.0,0.005009046
0.3862042,0.016128432,0,10059776,3000.0,0.275,0.016128432,4281,9059.359971046448,-15.316162109375,0.0,0.0060112765
0.41528398,0.02215865,0,10060800,3000.0,0.275,0.02215865,4281,9060.19830942154,-3.5736217498779297,0.0,0.0046554934
0.3945169,0.031531706,1,10061824,3000.0,0.275,0.031531706,4282,9061.04490852356,-3.2795915603637695,0.0,0.008674815
0.40252668,0.015707912,0,10062848,3000.0,0.275,0.015707912,4282,9061.950055599213,-3.268711566925049,0.0,0.0077477014
0.40390915,0.014613811,0,10063872,3000.0,0.275,0.014613811,4282,9062.78545832634,-4.264651298522949,0.0,0.0043281224
0.37254626,0.018638853,1,10064896,3000.0,0.225,0.018638853,4283,9063.673238039017,-4.112731456756592,0.0,0.008362899
0.3827781,0.030772723,0,10065920,3000.0,0.225,0.030772723,4283,9064.500502824783,-2.802963972091675,0.0,0.0059714885
0.4183399,0.027640939,0,10066944,3000.0,0.225,0.027640939,4283,9065.341716527939,-2.3751847743988037,0.0,0.0070140865
0.3794837,0.017668901,1,10067968,3000.0,0.15,0.017668901,4284,9066.213986158371,-3.5496931076049805,0.0,0.005764036
0.43658,0.050625175,0,10068992,3000.0,0.15,0.050625175,4284,9067.082378387451,-2.334059953689575,0.0,0.0070260214
0.3294909,0.0046149744,0,10070016,3000.0,0.15,0.0046149744,4284,9067.991603851318,-22.96824836730957,0.0,0.0077366116
0.41993988,0.020215685,1,10071040,3000.0,0.125,0.020215685,4285,9068.912896633148,0.4670908451080322,0.0,0.0064394306
0.3313629,0.08294177,0,10072064,3000.0,0.125,0.08294177,4285,9069.839049816132,0.3965081572532654,0.0,0.013080628
0.42072046,0.010424706,0,10073088,3000.0,0.125,0.010424706,4285,9070.709396123886,0.5812354981899261,0.0,0.005353826
0.41694635,0.017396372,1,10074112,3000.0,0.1,0.017396372,4286,9071.62675523758,-0.8823051452636719,0.0,0.009754391
0.44440338,0.034607835,0,10075136,3000.0,0.1,0.034607835,4286,9072.446642398834,0.026912212371826172,0.0,0.0054003005
0.36658973,0.019396745,0,10076160,3000.0,0.1,0.019396745,4286,9073.265155553818,0.6801861822605133,0.0,0.0043926635
0.41942707,0.026570113,1,10077184,3000.0,0.15,0.026570113,4287,9074.124326944351,-1.0012059211730957,0.0,0.012340743
0.37080517,0.0363271,0,10078208,3000.0,0.15,0.0363271,4287,9074.998675823212,-0.7381459474563599,0.0,0.0061916555
0.41149148,0.031484365,0,10079232,3000.0,0.15,0.031484365,4287,9075.834399223328,0.0807267427444458,0.0,0.01497883
0.44452873,0.0269458,1,10080256,3000.0,0.15,0.0269458,4288,9076.704326868057,-1.8549036979675293,0.0,0.008313375
0.38726044,0.017917978,0,10081280,3000.0,0.15,0.017917978,4288,9077.573033332825,-0.2848994731903076,0.0,0.010269558
0.44109803,0.04249546,1,10082304,3000.0,0.15,0.04249546,4289,9078.456843137741,-2.2098684310913086,0.0,0.012592648
0.39884818,0.021361971,0,10083328,3000.0,0.15,0.021361971,4289,9079.309789657593,-2.698617935180664,0.0,0.007172431
0.437163,0.021325286,0,10084352,3000.0,0.15,0.021325286,4289,9080.149127483368,-0.7738388776779175,0.0,0.0052362373
0.43460917,0.09854187,1,10085376,3000.0,0.15,0.09854187,4290,9081.071203231812,-0.26120245456695557,0.0,0.011317729
0.38969642,0.016397623,0,10086400,3000.0,0.15,0.016397623,4290,9081.969703912735,-4.0785112380981445,0.0,0.004651715
0.41618466,0.018342739,0,10087424,3000.0,0.15,0.018342739,4290,9082.880528211594,0.7396986186504364,0.0,0.008064365
0.41289884,0.024886914,1,10088448,3000.0,0.125,0.024886914,4291,9083.749281406403,-1.4186747074127197,0.0,0.0061655343
0.3636589,0.024537828,0,10089472,3000.0,0.125,0.024537828,4291,9084.638200759888,-0.49736082553863525,0.0,0.0049612503
0.40538043,0.009896861,0,10090496,3000.0,0.125,0.009896861,4291,9085.54883146286,0.642801821231842,0.0,0.005005643
0.44675526,0.019383844,1,10091520,3000.0,0.075,0.019383844,4292,9086.440824985504,-4.28186559677124,0.0,0.0060487753
0.4351509,0.021201607,0,10092544,3000.0,0.075,0.021201607,4292,9087.289721488953,-3.165287971496582,0.0,0.009771789
0.4002509,0.03211744,0,10093568,3000.0,0.075,0.03211744,4292,9088.181837558746,-1.1720209121704102,0.0,0.011553934
0.4239408,0.015988994,1,10094592,3000.0,0.075,0.015988994,4293,9089.108676195145,-1.021989345550537,0.0,0.0057802587
0.38947248,0.008064005,0,10095616,3000.0,0.075,0.008064005,4293,9089.962159395218,0.6241334676742554,0.0,0.0067817327
0.41898537,0.033483427,0,10096640,3000.0,0.075,0.033483427,4293,9090.83019566536,0.4443856477737427,0.0,0.006496399
0.43626857,0.035780713,1,10097664,3000.0,0.125,0.035780713,4294,9091.684261083603,0.19765865802764893,0.0,0.0042880913
0.42435506,0.031884722,0,10098688,3000.0,0.125,0.031884722,4294,9092.580018997192,0.3677619695663452,0.0,0.0058452985
0.42519206,0.03164035,0,10099712,3000.0,0.125,0.03164035,4294,9093.464160442352,0.663051426410675,0.0,0.0057632094
0.38297868,0.025705434,1,10100736,3000.0,0.15,0.025705434,4295,9094.320772886276,-0.3667445182800293,0.0,0.012559513
0.3944355,0.021699134,0,10101760,3000.0,0.15,0.021699134,4295,9095.143511772156,-0.07071387767791748,0.0,0.0055551156
0.39126492,0.018992573,0,10102784,3000.0,0.15,0.018992573,4295,9095.987639665604,-0.10193836688995361,0.0,0.007951995
0.41866642,0.023450311,1,10103808,3000.0,0.1,0.023450311,4296,9096.873365402222,-0.02722311019897461,0.0,0.0044445004
0.4021018,0.05419373,0,10104832,3000.0,0.1,0.05419373,4296,9097.739847898483,-1.1859190464019775,0.0,0.010288645
0.41621125,0.0059012854,0,10105856,3000.0,0.1,0.0059012854,4296,9098.755320072174,-3.2789015769958496,0.0,0.0035250692
0.38373578,0.019884694,1,10106880,3000.0,0.075,0.019884694,4297,9099.697443723679,-0.9330663681030273,0.0,0.013611931
0.36500043,0.047435347,0,10107904,3000.0,0.075,0.047435347,4297,9100.532360553741,-1.2589726448059082,0.0,0.010962087
0.38448727,0.029995572,0,10108928,3000.0,0.075,0.029995572,4297,9101.361539840698,-2.3529458045959473,0.0,0.010815093
0.38920566,0.030195631,1,10109952,3000.0,0.075,0.030195631,4298,9102.237390995026,-2.0391180515289307,0.0,0.006763707
0.40732792,0.064459555,0,10110976,3000.0,0.075,0.064459555,4298,9103.192140579224,-4.719366073608398,0.0,0.005973166
0.39277416,0.029015405,0,10112000,3000.0,0.075,0.029015405,4298,9104.064541578293,-4.443801403045654,0.0,0.008098844
0.39825717,0.027071677,1,10113024,3000.0,0.05,0.027071677,4299,9104.938643693924,0.5516171753406525,0.0,0.012231989
